run_id,model_id,quant,suite,repair,git_ref,verdict_source,task_id,passed,failure_tags,steps,total_tokens,trajectory_success,interface_variant,seed,temperature,tier
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_001,0,expected_tool_not_called;unknown_action,3,3338,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_002,0,no_json_found,4,4734,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_003,0,no_json_found,3,3356,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_004a,0,no_json_found,3,3404,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_004b,0,no_json_found,4,4981,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_005,0,no_json_found,3,3791,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_006,0,no_json_found,4,5186,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_007,0,no_json_found;unknown_action,4,4455,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_008,1,,3,3577,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_009a,0,final_answer_missing;no_json_found,5,8624,0,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_009b,0,expected_tool_not_called;unauthorized_side_effect;unknown_action,4,4611,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_010,0,final_answer_missing;no_json_found;unknown_action,5,6367,0,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_011,1,,2,2422,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_012,0,no_json_found;wrong_final_answer,3,3475,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,adv_013,0,unknown_action;wrong_tool_order,3,4507,1,PL_EN,1,0.7,easy
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L0_a,0,schema_violation,4,5297,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L0_b,0,final_answer_missing;invalid_json;schema_violation,8,16235,0,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L0_c,0,schema_violation;wrong_final_answer,2,2872,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L1_a,0,unknown_action;wrong_final_answer,6,8258,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L1_b,0,unknown_action,8,12029,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L1_c,0,unknown_action;wrong_final_answer,5,6603,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L2_a,0,final_answer_missing;schema_violation;unknown_action;wrong_tool_order,8,14507,0,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L2_b,0,final_answer_missing;schema_violation;unknown_action;wrong_tool_order,8,17633,0,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L2_c,0,final_answer_missing;no_json_found;schema_violation;unknown_action;wrong_tool_order,8,12271,0,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L3_a,0,wrong_final_answer,5,7033,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L3_b,0,wrong_final_answer,5,7027,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_arith_L3_c,0,no_json_found;wrong_final_answer,6,8852,1,PL_EN,1,0.7,hard
v3_11b_variance_2026-07-29__q3_seed1,bielik-11b-v3,Q3_K_M,main67,off,e584b38,run.log,v3_chain_001,1,,5,7033,1,PL_EN,1,0.7,hard
