run_id,model_id,quant,suite,repair,git_ref,verdict_source,task_id,passed,failure_tags,steps,total_tokens,trajectory_success,interface_variant,seed,temperature,rung,instance
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_a,0,unexpected_tool_call;wrong_final_answer,2,1935,1,PL_EN,42,0.0,L0,a
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_b,0,unexpected_tool_call;wrong_final_answer,2,1935,1,PL_EN,42,0.0,L0,b
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_c,0,unexpected_tool_call,2,1935,1,PL_EN,42,0.0,L0,c
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_d,0,unexpected_tool_call,2,1935,1,PL_EN,42,0.0,L0,d
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_e,0,unexpected_tool_call;wrong_final_answer,2,1935,1,PL_EN,42,0.0,L0,e
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_f,0,unexpected_tool_call,2,1935,1,PL_EN,42,0.0,L0,f
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_g,0,unexpected_tool_call;wrong_final_answer,2,1937,1,PL_EN,42,0.0,L0,g
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_h,0,unexpected_tool_call;wrong_final_answer,3,3704,1,PL_EN,42,0.0,L0,h
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_i,0,unexpected_tool_call;wrong_final_answer,2,1937,1,PL_EN,42,0.0,L0,i
v3_pllum_2026-07-29__q2_ladder_no_repair,llama-pllum-8b,Q2_K,ladder46,off,e584b38,run.log,v3_ext_L0_j,0,unexpected_tool_call,2,1937,1,PL_EN,42,0.0,L0,j
